read_id	speed	exp	mutant	HU
ac86a965-1943-490e-8c96-70d5222457e0	1950	BT13_RFX1	rfx1	0
3182a398-e4b4-42ad-8965-2e022205b426	4050	BT13_RFX1	rfx1	0
cd0d6011-68a5-48fa-95fb-2c0d050d2ff9	2850	BT13_RFX1	rfx1	0
cd0d6011-68a5-48fa-95fb-2c0d050d2ff9	2300	BT13_RFX1	rfx1	0
1d129097-b89d-44be-8ce1-67ece9c917ff	2400	BT13_RFX1	rfx1	0
52dc7bdd-d821-46cf-9455-0e34fe00d81a	5250	BT13_RFX1	rfx1	0
32bb7e36-4c2a-487c-9ad3-f0de78aa8950	3150	BT13_RFX1	rfx1	0
32bb7e36-4c2a-487c-9ad3-f0de78aa8950	2100	BT13_RFX1	rfx1	0
7d3d78c2-8165-4cc5-bac1-9008b6c8174c	2250	BT13_RFX1	rfx1	0
1f5d55ce-2c57-4af6-bae8-9a02378051d2	6550	BT13_RFX1	rfx1	0
b24391f4-5e5e-46bd-b1ab-6f3cba512418	1500	BT13_RFX1	rfx1	0
d419625d-439a-4d6e-be47-5ddbbb0c74e2	2400	BT13_RFX1	rfx1	0
a3598915-1a45-45bb-ad94-78ab0bd82cf0	1850	BT13_RFX1	rfx1	0
0ff7353d-3bda-4095-8d95-be2f074a4524	2150	BT13_RFX1	rfx1	0
526fc697-3fce-4be6-9753-0c81d112a645	900	BT13_RFX1	rfx1	0
3a6b140d-2346-4dda-ad10-f42d792d123e	3050	BT13_RFX1	rfx1	0
c35110ac-2cad-42b7-8bae-78ac6241f43c	2050	BT13_RFX1	rfx1	0
93a686b9-37f2-424c-a293-ecaf0f41a1c4	2100	BT13_RFX1	rfx1	0
93a686b9-37f2-424c-a293-ecaf0f41a1c4	3250	BT13_RFX1	rfx1	0
a78ee208-3cac-4ee2-b930-49115ce65f21	2950	BT13_RFX1	rfx1	0
a78ee208-3cac-4ee2-b930-49115ce65f21	4850	BT13_RFX1	rfx1	0
e36971c8-ae0e-4dd2-b53b-a4c5901599cd	2900	BT13_RFX1	rfx1	0
4d0e98e1-5c02-4ed1-860a-523ef6036bef	3400	BT13_RFX1	rfx1	0
91c93d7c-919a-41f5-9213-09e62d8403ed	2350	BT13_RFX1	rfx1	0
11544311-8256-4b30-8d23-046ea891fd1e	3000	BT13_RFX1	rfx1	0
6ecc0583-2667-40a8-93fa-fef57be02a0c	2800	BT13_RFX1	rfx1	0
441b872f-50dd-4e5c-9837-078ad89a2689	1950	BT13_RFX1	rfx1	0
9018128b-bae2-4c98-8df9-515d44a709ae	2550	BT13_RFX1	rfx1	0
af961287-2030-4c7e-898e-38e29ad94226	2650	BT13_RFX1	rfx1	0
13423e81-997e-428a-8747-6aa8eb3f0727	2400	BT13_RFX1	rfx1	0
92797e07-1d22-4d4e-9609-d2f01e03c987	2950	BT13_RFX1	rfx1	0
80c1c189-d852-4950-874e-2824757c8ff9	3500	BT13_RFX1	rfx1	0
80c1c189-d852-4950-874e-2824757c8ff9	2400	BT13_RFX1	rfx1	0
34cab82a-ffb0-46fa-aab5-c45d91dabf58	2850	BT13_RFX1	rfx1	0
34cab82a-ffb0-46fa-aab5-c45d91dabf58	2750	BT13_RFX1	rfx1	0
a31586e9-55f3-47ee-b385-a3a87f97d74b	2900	BT13_RFX1	rfx1	0
988904dc-ec31-48d8-9413-b6c8208ec8ad	3350	BT13_RFX1	rfx1	0
267dab67-cc41-42b8-bc2e-0a09fc1c62b6	2150	BT13_RFX1	rfx1	0
aefeb8f3-240d-48fa-b71e-73f42ee45753	2550	BT13_RFX1	rfx1	0
aefeb8f3-240d-48fa-b71e-73f42ee45753	1950	BT13_RFX1	rfx1	0
58dadd86-9167-4a98-a23e-91496004628e	700	BT13_RFX1	rfx1	0
58dadd86-9167-4a98-a23e-91496004628e	2100	BT13_RFX1	rfx1	0
58dadd86-9167-4a98-a23e-91496004628e	2600	BT13_RFX1	rfx1	0
b697fab2-f527-46a9-94f0-858cf177affb	2200	BT13_RFX1	rfx1	0
cf25f314-9360-4955-8145-890897a24516	3150	BT13_RFX1	rfx1	0
dfd67f52-6af3-417f-9616-1870dc560d5a	2400	BT13_RFX1	rfx1	0
eae6f9ae-76fe-45c7-b335-53048b8c1f1d	2700	BT13_RFX1	rfx1	0
ebf01f84-4e80-46c9-bd24-c01993056d9b	2250	BT13_RFX1	rfx1	0
ebf01f84-4e80-46c9-bd24-c01993056d9b	1400	BT13_RFX1	rfx1	0
80c734a1-921b-4d68-9ac1-7c04a6e0099e	2950	BT13_RFX1	rfx1	0
c9b6ff2a-5f0e-49af-a06c-6640d8278dd5	2600	BT13_RFX1	rfx1	0
