read_id	speed	exp	mutant	HU
adffe860-6376-4824-ab50-f23a63a787db	1550	BT14_GCN5	gcn5	0
457aedef-c84d-46be-aaa4-4be3e668d9f2	2250	BT14_GCN5	gcn5	0
40ec681f-62d7-4bc3-96b8-6c85b76bf192	1700	BT14_GCN5	gcn5	0
891053d5-ac01-45cb-827e-f180870b46bd	2300	BT14_GCN5	gcn5	0
046d16f3-e0b6-44bb-a131-e60c65af77fc	650	BT14_GCN5	gcn5	0
032d34a5-bcd9-46a6-9020-7a8dfbeedac4	550	BT14_GCN5	gcn5	0
b8c9a274-89b0-449f-9da3-c407a71b26e1	2150	BT14_GCN5	gcn5	0
9cd10836-0d53-49f6-a702-a72813de22e7	2850	BT14_GCN5	gcn5	0
d32143f6-7f86-4b8e-9260-eda615f02c3f	1550	BT14_GCN5	gcn5	0
9e0a606f-8f3e-407a-9ac1-b30b3ddeec63	2050	BT14_GCN5	gcn5	0
0932bad2-d763-4bc6-9810-d5e46d9ca6a4	3450	BT14_GCN5	gcn5	0
0932bad2-d763-4bc6-9810-d5e46d9ca6a4	2700	BT14_GCN5	gcn5	0
70271d22-0b50-45b8-8aeb-bbe1da0a6160	2050	BT14_GCN5	gcn5	0
70271d22-0b50-45b8-8aeb-bbe1da0a6160	2850	BT14_GCN5	gcn5	0
dcbcb699-0872-45da-83a2-9bbeeff53cb6	2700	BT14_GCN5	gcn5	0
9d82b609-da9b-4dcf-8a37-09995b5d9437	1850	BT14_GCN5	gcn5	0
b96f1198-3131-4f24-bd42-1d3ea25a126c	700	BT14_GCN5	gcn5	0
28888364-e95f-4bdc-b6bd-8df8dd0989a9	1850	BT14_GCN5	gcn5	0
28888364-e95f-4bdc-b6bd-8df8dd0989a9	2950	BT14_GCN5	gcn5	0
454b6550-6ca2-41d8-b362-6540cc217c76	3100	BT14_GCN5	gcn5	0
a39f310d-f43a-4e7a-988c-91ce8e6afb15	2800	BT14_GCN5	gcn5	0
504bb095-cb64-406f-8be8-1ee63f3e3ca2	1600	BT14_GCN5	gcn5	0
504bb095-cb64-406f-8be8-1ee63f3e3ca2	1450	BT14_GCN5	gcn5	0
69b59579-30ae-437f-994a-13a7d73c65c8	1000	BT14_GCN5	gcn5	0
0a8f756c-aa50-4ab8-886c-a1cd7022455f	1950	BT14_GCN5	gcn5	0
4d6a3037-0195-4d8b-a537-81f3aa930f13	2600	BT14_GCN5	gcn5	0
b3c39260-6c20-4afb-b2dc-6ba6ea70e5e9	1650	BT14_GCN5	gcn5	0
17a4f16e-5141-46d5-b3af-eca8d5eac7b4	2900	BT14_GCN5	gcn5	0
4f7b965c-6942-469c-a5a0-13443515760f	2000	BT14_GCN5	gcn5	0
ca970afb-83d1-40c0-b118-f1667acbddcd	2350	BT14_GCN5	gcn5	0
7ba9bf74-1d19-4c9f-9c0b-c6392fcf452f	2250	BT14_GCN5	gcn5	0
7ba9bf74-1d19-4c9f-9c0b-c6392fcf452f	2200	BT14_GCN5	gcn5	0
f612ebd7-11dd-4166-a270-ffe085736f37	3250	BT14_GCN5	gcn5	0
70532d8b-6f75-4605-aa71-564f1106ce03	1550	BT14_GCN5	gcn5	0
1b9c71d3-5eb6-46be-87c6-a625dd44848a	2300	BT14_GCN5	gcn5	0
6ac61ec3-0be1-4625-aed9-62b09dacebda	1200	BT14_GCN5	gcn5	0
6ac61ec3-0be1-4625-aed9-62b09dacebda	1950	BT14_GCN5	gcn5	0
6ac61ec3-0be1-4625-aed9-62b09dacebda	2450	BT14_GCN5	gcn5	0
90ac365f-9036-4ee2-ac40-7485fad85ec8	2700	BT14_GCN5	gcn5	0
1e4329cd-8854-4461-82d6-b495868b54b8	3050	BT14_GCN5	gcn5	0
529026d1-66e7-4e45-91f3-6385a9860adf	2300	BT14_GCN5	gcn5	0
427676fc-788b-4b7e-9e34-cd25b6e22d94	1650	BT14_GCN5	gcn5	0
05e22493-c5fe-48aa-8195-088cdeac2e97	1850	BT14_GCN5	gcn5	0
