read_id	speed	exp	mutant	HU
aee3d9a5-1a7c-4f5d-b7f4-ef211a8595bd	1850	BT15_IOC4	ioc4	0
50167d2a-58ba-47d8-8805-8c0d1e0ee2f2	2350	BT15_IOC4	ioc4	0
72037b58-574d-441a-aa22-6ff1cab3213e	950	BT15_IOC4	ioc4	0
00ec0e16-fa79-4bf6-a26e-922387bc0bff	1650	BT15_IOC4	ioc4	0
00ec0e16-fa79-4bf6-a26e-922387bc0bff	1750	BT15_IOC4	ioc4	0
145b0b99-189f-42fa-9198-943759fe19b8	2900	BT15_IOC4	ioc4	0
dac170f3-45e0-4bcc-bfae-51985dec9785	2900	BT15_IOC4	ioc4	0
9bd5da56-58e2-47f6-9517-9d2be5f16f75	6050	BT15_IOC4	ioc4	0
c3373e0a-10a9-4c7d-9098-7c8f0e94c202	3200	BT15_IOC4	ioc4	0
c3373e0a-10a9-4c7d-9098-7c8f0e94c202	3600	BT15_IOC4	ioc4	0
84c6097b-f848-4265-a8e0-9cb2e012ae60	1850	BT15_IOC4	ioc4	0
34b5b522-75f5-49d2-a60e-5f6f0e3e7a96	2650	BT15_IOC4	ioc4	0
da29b9ac-dd02-40bd-8c20-09faebe677ee	2750	BT15_IOC4	ioc4	0
a30727e5-6971-4d79-b898-06f8a14171d4	2150	BT15_IOC4	ioc4	0
3296595c-90f0-41e7-a082-fc87d914b8be	3050	BT15_IOC4	ioc4	0
a2c5e01e-e860-4d57-9b25-49f4090ebb0e	1950	BT15_IOC4	ioc4	0
a2c5e01e-e860-4d57-9b25-49f4090ebb0e	2150	BT15_IOC4	ioc4	0
cee8339f-4a69-4f69-beb5-c3f64585b5d7	600	BT15_IOC4	ioc4	0
67c0f420-b75d-4060-837c-f7c65d44227b	2850	BT15_IOC4	ioc4	0
2866c48f-48bb-43b7-b093-154eee0006c1	2300	BT15_IOC4	ioc4	0
b7837d55-ac0d-4180-88c6-f85b25ca0e1a	1750	BT15_IOC4	ioc4	0
38d56520-510f-4bc3-8952-17867e12930f	2800	BT15_IOC4	ioc4	0
5d15ea87-e12d-487a-8f02-0547f295ea15	2150	BT15_IOC4	ioc4	0
5d15ea87-e12d-487a-8f02-0547f295ea15	2550	BT15_IOC4	ioc4	0
f9d6eb3f-aca0-4f86-a2a5-1f26e75fcabc	2400	BT15_IOC4	ioc4	0
f5103daf-32b6-4c30-96c7-1b142602a5de	1900	BT15_IOC4	ioc4	0
4aeb4d27-52e3-46c5-89d4-49425a6446ca	3050	BT15_IOC4	ioc4	0
