chrom	X0	X1	speed	d.Y	RT
chrI	43245	46445	1600	0.6190958791379664	0.20518049355518203
chrI	62345	58745	1800	-0.5498565001846463	0.24470326782228924
chrI	34988	38388	1700	0.4403352172163717	0.24423734709258516
chrI	47088	44388	1350	-0.36087069416928336	0.198777706920208
chrI	41880	34680	3600	-0.357838571337222	0.24461575067153657
chrI	42680	46280	1800	0.380750505747022	0.2202560534910237
chrI	50271	54271	2000	0.5584641188677666	0.1625143486578933
chrI	45778	40578	2600	-0.30605521124965274	0.22894837703957083
chrI	61085	56185	2450	-0.4974020400232022	0.22526201196848772
chrI	49688	54588	2450	0.45882456488463536	0.16395008406284428
chrI	62671	58971	1850	-0.4183368369310252	0.24470326782228924
chrI	64531	61031	1750	-0.5766133215150171	0.2840512493477883
chrI	76531	80731	2100	0.4753972222332108	0.2747380524474849
chrI	54441	48841	2800	-0.436294681632946	0.16314624174210243
chrI	62951	58851	2050	-0.5484304433276822	0.24470326782228924
chrI	78351	83351	2500	0.6312353007029091	0.21788895974645878
chrI	67155	64655	1250	-0.38348934759123715	0.3416760875026572
chrI	63092	58992	2050	-0.4572884244680533	0.25106721162579476
chrI	82092	85492	1700	0.37022138994144266	0.1626891413995015
chrI	96078	90178	2950	-0.35011481830007024	0.0981206639998455
chrI	63896	59996	1950	-0.32830844085331234	0.25704311361045085
chrI	77696	82596	2450	0.3722482030060499	0.24369415940376582
chrI	80725	82625	950	0.5111786671631677	0.2076055938830593
chrI	78875	84975	3050	0.5151805054669826	0.20389146092665145
chrI	98775	95275	1750	-0.5349411360798045	0.0937136452354727
chrI	69553	76753	3600	0.6146339360589413	0.3924620026281717
chrI	77349	81549	2100	0.29382186934769583	0.25238641853634036
chrI	107249	103049	2100	-0.3657084333215645	0.16926662415212487
chrI	76186	80386	2100	0.6241896358095502	0.2747380524474849
chrI	79099	84699	2800	0.4458532950318061	0.1926657584014533
chrI	80281	84681	2200	0.4348580927316732	0.18323612963070332
chrI	79014	84414	2700	0.5266092418830215	0.1926657584014533
chrI	89222	93822	2300	0.593692194868083	0.112223510541674
chrI	117448	113248	2100	-0.5274473862801277	0.3164144781339981
chrI	88543	92143	1800	0.524971843242659	0.12200243492376377
chrI	101859	96559	2650	-0.5035831076550346	0.10632516538800971
chrI	112551	106751	2900	-0.49040450862632345	0.20621968423290252
chrI	106143	100543	2800	-0.47647569284480923	0.14468651046713552
chrI	109148	102648	3250	-0.4843652313672282	0.16661811312733116
chrI	102706	97006	2850	-0.28914640511589695	0.10729526993513322
chrI	125033	122133	1450	-0.3928174053585554	0.508439861247995
chrI	105243	100043	2600	-0.5146930048341021	0.14318978233842872
chrI	118062	114362	1850	-0.49394930436520684	0.3518043558080662
chrI	110235	105535	2350	-0.5263530775229659	0.18587486553165736
chrI	106444	102644	1900	-0.36925489342885565	0.15320134500550764
chrI	106714	101014	2850	-0.5800554501709014	0.15017456728570425
chrI	123415	118215	2600	-0.5740529196223447	0.443732970027248
chrI	117739	113839	1950	-0.5435479738354465	0.3164144781339981
chrI	116512	114012	1250	-0.5243443007719979	0.3220798629228103
chrI	124604	119204	2700	-0.26452381497250826	0.4623593316198685
chrI	120661	116461	2100	-0.4483219434591145	0.39790441957987904
chrI	146476	141776	2350	-0.42187277565432374	0.7774540875155402
chrI	148876	151276	1200	0.3588170998779353	0.7709545964017237
chrI	120085	115085	2500	-0.5346101155034719	0.3878540462893179
chrI	121515	118315	1600	-0.47537926822388277	0.4307334241598547
chrI	123106	118206	2450	-0.527963712308333	0.443732970027248
chrI	130644	126744	1950	-0.30235481167600253	0.5108263280963148
chrI	127637	126237	700	-0.27830973512794593	0.505238467930508
chrI	133898	128798	2550	-0.5614926666810065	0.5459835030694211
chrI	127032	123832	1600	-0.4751633384405853	0.5161814211451872
chrI	141657	137457	2100	-0.5261292344475069	0.6917925193731037
chrI	143226	138826	2200	-0.3692938073624034	0.7199066612557249
chrI	138672	132472	3100	-0.5110474554352415	0.6233157753796631
chrI	138488	133888	2300	-0.5059278909054585	0.6299957807537957
chrI	139346	134446	2450	-0.4859434323489768	0.6373686719358932
chrI	144900	143400	750	-0.31207471283375965	0.7660067250275377
chrI	154355	157255	1450	0.3847480932174975	0.8547727404487215
chrI	161904	165004	1550	0.4501618044425884	NA
chrI	175442	168742	3350	-0.3539857319771819	0.7900174164685876
chrI	191611	193211	800	0.25521737025567914	0.4854477876334216
chrI	182161	187461	2650	0.5597063242704399	0.6722930797920652
chrI	181844	185044	1600	0.3401439299786558	0.6868448412468355
chrI	180692	183792	1550	0.400081865068992	0.7054713316714012
chrI	184543	189343	2400	0.4493277316254897	0.6383387764830167
chrI	185185	189385	2100	0.43217398563403664	0.6260764875258469
chrI	193008	195708	1350	0.2885547518077787	0.4912687369960256
chrI	191698	195098	1700	0.5611229603793295	0.4782302355692118
chrI	207239	205239	1000	-0.2525780237701494	0.21536610818018448
chrI	213114	218214	2550	0.42735567284138853	NA
chrI	221379	224379	1500	0.32064411288201233	NA
chrI	210872	209172	850	-0.3324120285765941	NA
chrI	219372	223372	2000	0.42678009449604376	NA
chrI	224546	226946	1200	0.4162567354514724	NA
chrII	8236	11936	1850	0.3780584202314934	0.2171128277967805
chrII	8030	4130	1950	-0.3115455616205949	0.2435969718051289
chrII	9269	14169	2450	0.4132813410133883	0.20353112257715428
chrII	2437	7837	2700	0.4300390907931105	0.24679820408268446
chrII	19337	14337	2500	-0.5274228201664715	0.15405514651412971
chrII	13063	18963	2950	0.4241387628207756	0.16666666666666674
chrII	27663	22463	2600	-0.3864245228251801	0.16763677121379028
chrII	18508	24008	2750	0.42421253485302524	0.1588225956508177
chrII	25732	21132	2300	-0.5472669627222739	0.16414439484414567
chrII	9008	14708	2850	0.501020730366251	0.20353112257715428
chrII	27608	23008	2300	-0.4585510594905973	0.1711291475834349
chrII	20223	16423	1900	-0.37104919535298775	0.15692658511604546
